id,question,answer,must_have_score
152,So what does the non reactive mean for the hep a igm,"In the context of a Hepatitis A IgM test, a result of non-reactive (or negative) means that the lab did not find a significant level of IgM antibodies in your blood at the time of the test",5
153,The ambien - is this considered a controlled substance?,"Yes, Ambien (generic name: zolpidem) is a Schedule IV controlled substance in the United States.
While it is a widely prescribed medication for insomnia, it is regulated by the DEA because it carries a potential for misuse and can lead to physical or psychological dependence.",4
154,The reason I contacted you via the app today is to verify if dry mouth is a per-diabetic symptom?,Dry mouth (clinically known as xerostomia) is a recognized symptom associated with both pre-diabetes and diabetes.1,4
155,The yeast infection is not transferable?,"yeast infections are not classified as sexually transmitted infections (STIs), it is actually a common misconception that they cannot be transferred.",5
156,What about diflucan for a yeast infection?,"Diflucan (generic name: fluconazole) is a very common and effective prescription treatment for yeast infections. Unlike over-the-counter creams that you apply locally, this is an oral pill that treats the infection systemically (throughout the body)",4
157,What can I do to help the ear pain?,"Try to sleep with the painful ear facing up rather than against the pillow. Keeping your head slightly elevated with an extra pillow can also help if the pain is caused by pressure buildup or fluid. Do Not Use Q-Tips: Avoid putting anything inside the ear canal. This can push wax deeper, irritate the eardrum, or even cause a secondary infection.",4
158,What causes genital warts?,Genital warts are caused by the human papillomavirus (HPV).,5
159,What causes people to have such severe anxiety is it a mind over matter thing?,"The idea that anxiety is simply ""mind over matter"" is a common misconception, but the reality is much more complex. While our thoughts play a role, severe anxiety is a biological and physiological event as much as it is a psychological one.",4
160,What does a low pulse possibly indicate?,"A low pulse, clinically known as bradycardia, is generally defined as a resting heart rate below 60 beats per minute (BPM).",4
161,What does proton pump inhibitor do?,"A Proton Pump Inhibitor (PPI) is a type of medication specifically designed to significantly reduce the amount of acid produced by the glands in your stomach. Common brand names include Prilosec (Omeprazole), Nexium (Esomeprazole), and Prevacid (Lansoprazole).",4
162,What exactly is cervical radiculopathy?,"Cervical radiculopathy is the medical term for a ""pinched nerve"" in the neck. It occurs when a nerve root leaving the spinal cord becomes compressed or inflamed.",4
163,What is Valtrex?,"
Valtrex (generic name: valacyclovir) is an antiviral medication used to treat infections caused by certain types of viruses, specifically those in the herpes family",4
164,What is a neurological issue?,"A neurological issue refers to any disorder or condition that affects the nervous system. This is essentially the body’s electrical wiring, consisting of the brain, the spinal cord, and all the nerves that branch out to your organs and limbs.",4
165,What is an example of a topical steroid?,"Topical steroids are medications applied directly to the skin to reduce inflammation, redness, and itching. They come in various strengths (potencies), ranging from mild over-the-counter versions to very strong prescription-only formulas.",4
166,What is augmentin?,"Augmentin is a powerful, ""broad-spectrum"" antibiotic used to treat a wide variety of bacterial infections.",5
167,What is blepharitis?,"Blepharitis is a common condition where the edges of your eyelids become inflamed, irritated, and itchy. It typically affects both eyes and occurs along the edges where the eyelashes grow.",5
168,What is cefdinir?,"Cefdinir (brand name Omnicef) is a third-generation cephalosporin antibiotic. Like the Augmentin we discussed, it is used to treat a wide range of bacterial infections, but it belongs to a different family of drugs",5
