id,question,answer,must_have_score
152,So what does the non reactive mean for the hep a igm,A non-reactive (negative) result for Hepatitis A IgM test means that no IgM antibodies against the Hepatitis A virus were detected in your blood.,4
153,The ambien - is this considered a controlled substance?,"Yes — Ambien (generic: zolpidem) is considered a controlled substance. It acts on the brain to promote sleep (sedative-hypnotic effect), Can cause dependence, especially with long-term use and Has risks like memory issues, sleepwalking, or misuse",4
154,The reason I contacted you via the app today is to verify if dry mouth is a per-diabetic symptom?,"Dry mouth can be associated with prediabetes, but it’s not one of the main or most specific symptoms.",5
155,The yeast infection is not transferable?,"A yeast infection (most commonly caused by Candida albicans) is not usually considered a sexually transmitted infection, but it can sometimes be passed between partners.",4
156,What about diflucan for a yeast infection?,Diflucan (generic: fluconazole) is a commonly used and effective treatment for yeast infections.,5
157,What can I do to help the ear pain?,"Ear pain can come from several causes (infection, pressure, wax buildup, jaw issues), so relief depends a bit on the source",4
158,What causes genital warts?,"Genital warts are caused by infection with the Human papillomavirus (HPV), a very common virus spread through skin-to-skin sexual contact.",4
159,What causes people to have such severe anxiety is it a mind over matter thing?,"Severe anxiety isn’t just “mind over matter.” It’s a real, multifactorial condition involving brain biology, psychology, and life experiences.",4
160,What does a low pulse possibly indicate?,A low pulse (typically below 60 beats per minute) is called Bradycardia. What it means depends a lot on your overall health and symptoms.,4
161,What does proton pump inhibitor do?,A proton pump inhibitor (PPI) is a type of medication that reduces the amount of acid your stomach produces.,4
162,What exactly is cervical radiculopathy?,"Cervical radiculopathy is a condition where a nerve in your neck (cervical spine) gets compressed or irritated, causing symptoms that can travel from the neck into the shoulder, arm, or hand.",4
163,What is Valtrex?,Valtrex (generic: valacyclovir) is an antiviral medication used to treat infections caused by certain viruses.,4
164,What is a neurological issue?,"A neurological issue is any problem that affects the nervous system, which includes the brain, spinal cord, and nerves throughout the body.",5
165,What is an example of a topical steroid?,"A topical steroid is a medication applied directly to the skin to reduce inflammation, redness, and itching.
 Common examples:(hydrocortisone ? mild, often over-the-counter; triamcinolone ? medium strength, prescription; clobetasol ? very strong (high potency), prescription only)",4
166,What is augmentin?,Augmentin is an antibiotic used to treat a variety of bacterial infections.,5
167,What is blepharitis?,"Blepharitis is a common inflammation of the eyelids, usually affecting the area where the eyelashes grow.",5
168,What is cefdinir?,cefdinir is an antibiotic used to treat a variety of bacterial infections.,4
