id,question,answer,must_have_score
152,So what does the non reactive mean for the hep a igm,Hepatitis A IgM Non-Reactive means the test did not detect IgM antibodies against Hepatitis A virus in your blood.,5
153,The ambien - is this considered a controlled substance?,,4
154,The reason I contacted you via the app today is to verify if dry mouth is a per-diabetic symptom?," Dry mouth is not a primary or classic symptom of pre-diabetes, but there is a connection worth knowing about.",5
155,The yeast infection is not transferable?,yeast can be passed between partners through sexual contact,5
156,What about diflucan for a yeast infection?,Diflucan (fluconazole) is actually one of the most commonly prescribed treatments for yeast infections,5
157,What can I do to help the ear pain?,"Outer ear infection (Otitis Externa/""Swimmer's Ear"") — very common, causes pain around/outside the ear and discharge",4
158,What causes genital warts?,Genital warts are caused by the Human Papillomavirus (HPV) — specifically certain strains of the virus.,4
159,What causes people to have such severe anxiety is it a mind over matter thing?,"Anxiety is a very real, complex condition with multiple causes.",4
160,What does a low pulse possibly indicate?,Great question! A low pulse (called bradycardia) is generally defined as a heart rate below 60 beats per minute.,5
161,What does proton pump inhibitor do?,Proton Pump Inhibitors (PPIs) are medications that reduce the amount of acid your stomach produces.,4
162,What exactly is cervical radiculopathy?,Cervical radiculopathy is essentially a pinched nerve in the neck.,4
163,What is Valtrex?,Valtrex (valacyclovir) is an antiviral medication used to treat infections caused by certain types of the herpes virus.,4
164,What is a neurological issue?,A neurological issue is any condition or problem that affects the nervous system.,4
165,What is an example of a topical steroid?,"Topical steroids are anti-inflammatory creams, ointments, or lotions applied directly to the skin.",4
166,What is augmentin?,Augmentin is a prescription antibiotic that combines two medications in one.,5
167,What is blepharitis?,"Blepharitis is inflammation of the eyelids, specifically affecting the area where the eyelashes grow.",5
168,What is cefdinir?,Cefdinir is a prescription antibiotic in the cephalosporin family.,4
